FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
5069,Arkansas,Jefferson,70.288029776,5.2200264295,6.4308613946,83.152677279,46.843995374,32.0,10.606394868,35.4,46.7,48.0,240.33553,49581,63.211966795,30.593220339,57.294104711,0.9707670316,2.8086269459,37.041516784,16429,24.49137797,20.462032698,78.507438152,36.582294421,43.883276537,13.741552324,99.2844336042,8.7,24.2
5071,Arkansas,Johnson,73.421216934,6.0235924564,6.5589110776,88.306962025,44.43903231,19.6,13.329277557,37.0,41.9,14.0,248.76574,50387,71.65322982,69.645423123,1.7872861571,3.884572697,14.061005014,76.872440583,6159,17.895199206,21.695019079,70.16024684,28.18572912,17.466718307,14.61928934,96.3520818718,7.9,23.6
5073,Arkansas,Lafayette,71.67935972,5.8578559641,6.5639345556,,52.906976744,30.6,11.357702636,39.0,43.6,2.0,65.62756,43824,77.184087363,100.0,33.601312551,0.7547169811,4.2165709598,59.08121411,1204,,,67.004680187,45.534150613,31.088727228,8.2,99.7328881469,8.5,26.1
5075,Arkansas,Lawrence,71.32416894,5.7696833455,6.9044557077,90.446428571,55.498652291,24.5,16.813665268,35.2,40.2,5.0,226.74347,49015,68.168401429,59.669462259,1.3604608408,0.428974139,2.3042039466,93.314131634,3710,51.301225143,,82.150069908,36.762761174,22.019156666,7.9872204473,99.8955681744,8.2,24.2
5077,Arkansas,Lee,68.855333883,5.8417219012,6.490972118,,32.550644567,46.1,20.286818357,39.5,46.2,1.0,36.5809,36735,61.226808027,100.0,53.615412755,0.6218753811,3.4020241434,40.397512498,2172,21.027432712,,80.840590685,45.393858478,25.381881951,19.168173599,100.0,8.5,26.7
5079,Arkansas,Lincoln,72.559078596,5.3989059885,6.0802931527,92.5,35.35169588,24.8,17.503821198,36.4,43.0,1.0,147.30965999999998,53381,78.396816373,100.0,30.454334005,0.6590169018,5.2178632346,61.978601334,4393,19.426906265,,62.734508243,24.449877751,18.375597207,7.0796460177,99.2577652279,8.4,23.8
5081,Arkansas,Little River,71.836016258,5.1763111833,6.1959839168,90.444444444,55.63598759,25.3,0.9872797871,32.1,40.4,2.0,8.47099,48837,80.0,100.0,19.1613723,0.5506141465,4.1592545532,72.028801355,2901,31.638153269,,78.72651357,40.702656384,23.129026929,7.1503680336,99.9289204798,9.3,20.8
5083,Arkansas,Logan,71.190888658,5.379165723,6.536905905,96.780973451,50.731112916,22.5,8.5999770086,32.4,40.1,4.0,23.36449,51290,76.685525695,100.0,1.3785046729,2.023364486,3.808411215,89.869158879,4924,23.241143464,18.785810451,78.84252711,38.902743142,20.545194759,10.882708585,99.5199039808,8.1,21.1
5085,Arkansas,Lonoke,74.120651825,4.8914007141,5.7600405984,86.75173439,55.434522956,11.8,5.2967568257,26.1,38.6,11.0,110.60782,74687,74.422115972,51.936769574,6.5245444011,1.0850100074,5.685768461,83.789371116,20931,19.575160865,21.441206425,88.280547866,21.75066313,14.831434011,10.137488543,99.2846659162,9.0,18.0
5087,Arkansas,Madison,74.197789786,5.5807135019,6.4104175311,87.5,36.670807453,20.5,10.986230917,34.3,38.8,5.0,135.0211,52262,79.04717129,100.0,0.5513361463,1.1983122363,7.0661040788,86.970464135,4025,19.732665283,21.530632218,88.653816016,32.883642496,26.144722925,10.156895128,99.1841056303,7.7,23.1
5089,Arkansas,Marion,73.687270698,5.4314460039,6.3886196786,,56.022235948,26.0,3.2087565959,29.1,39.0,5.0,11.41944,49975,83.470394737,100.0,0.6451981272,0.7022953066,2.9233755852,92.817174832,3238,22.186004045,,86.252741228,25.371511417,27.238920865,13.45323741,99.7187232481,7.5,20.5
