FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
47000,Tennessee,,73.514063452,4.7397601388,6.2928638828,90.395221489,63.359125614,18.9,8.8729312359,26.5,39.8,4854.0,200.19676,67651,67.026553205,33.766633289,16.079657178,2.1174943229,7.5184428124,71.987299777,1852363,17.17009693,51.029505449,87.447083388,23.064688421,20.340412154,13.28059622,98.152197697,7.0,19.2
47001,Tennessee,Anderson,72.601132472,5.0831860613,6.648976263,95.014705882,64.086623148,18.2,2.6408467875,25.1,37.1,39.0,118.40367,61009,71.049923602,36.520882227,3.9758705786,1.5504648902,4.2849664731,87.484108981,19302,13.340744858,96.561801689,88.477969379,26.260226973,15.741651119,12.18724778,99.1941035921,7.7,17.3
47003,Tennessee,Bedford,72.80204165,4.918302891,6.5410667982,90.0,47.64318297,19.0,8.9272984831,29.8,40.7,15.0,73.50862,69272,70.178863504,55.108784362,7.6317029498,1.1817924795,16.311374988,72.632174159,13811,15.247410817,35.889538526,85.094707962,39.087371772,19.444521605,13.487852555,97.5450901804,7.1,22.0
47005,Tennessee,Benton,70.544268943,5.5789683119,6.8963921529,97.5,48.150490041,27.3,5.7688721062,30.4,41.3,4.0,43.47016,52795,74.653579677,100.0,2.5461094206,0.6582624356,3.1112215115,91.28112774,3163,33.823175996,39.579210499,75.360854503,34.52991453,29.869693462,10.368663594,99.9274166942,6.8,24.1
47007,Tennessee,Bledsoe,76.296763717,5.9268933072,7.0068921449,92.5,23.891684639,28.1,1.8957478556,32.2,41.0,2.0,33.20053,50731,79.135494597,100.0,5.411686587,0.3386454183,3.8645418327,88.120849934,4173,24.888480463,24.306706441,82.06566916,40.120361083,14.65220982,13.163265306,99.7548504588,7.0,26.1
47009,Tennessee,Blount,74.794861658,4.5636709603,6.0398559621,93.898324448,57.764933729,13.1,8.5770960034,24.3,39.4,94.0,173.90567,77206,76.95274477,37.200620934,2.8595464314,0.9508256985,4.829770388,89.328130302,33046,12.187951034,56.510329506,87.83816048,20.9847249,14.924248357,10.60475781,99.1176044028,6.6,18.1
47011,Tennessee,Bradley,73.745858752,4.7299088106,6.3535166179,94.989949749,61.1391387,19.3,12.368771695,24.6,38.1,53.0,151.46219,61440,67.527261447,31.948075861,4.918488246,1.3299993726,8.6288638543,82.856092992,27354,12.454686142,39.411973358,87.878498652,22.447615678,14.503769144,12.832722833,97.9571543044,7.9,17.8
47013,Tennessee,Campbell,68.555815731,5.8173844705,7.0290237025,87.0,43.480152257,25.7,6.3311177582,30.7,38.6,14.0,59.66735,50443,67.340953977,48.782847831,0.5867289859,0.445019019,1.670685926,95.686547498,9195,18.35945656,74.790544458,76.683224609,37.041884817,23.182679515,12.734201334,99.7782349641,7.4,23.2
47015,Tennessee,Cannon,71.276668789,5.1898675157,6.6359269056,92.5,52.071638599,21.8,0.7438386169,29.4,40.0,3.0,26.55514,60098,77.189588463,100.0,2.1775210781,0.5377414858,3.332669455,91.774546903,3741,28.551456617,63.365619625,79.546253957,29.728725381,16.364826533,11.287477954,99.7032426173,6.9,22.5
47017,Tennessee,Carroll,70.626868294,5.1781701269,6.6724497457,89.852941176,55.864438544,21.9,3.4253596224,32.3,40.6,10.0,55.44006,51159,74.809024694,82.102672293,9.8302148302,0.4851004851,3.3056133056,83.808038808,6403,22.911490367,16.534977383,78.184402203,26.930815663,22.782935581,9.7361237489,99.8367346939,7.0,25.3
47019,Tennessee,Carter,72.711614758,5.4840604181,7.0067950056,86.500782473,58.01503531,23.0,23.050542941,30.3,44.2,17.0,68.39465,48885,74.069786671,40.737454752,2.0307951317,0.5454035285,2.7375398969,92.87117253,13169,14.694928223,44.388679111,80.027286258,25.883716438,24.493794905,10.065831387,99.6144764997,6.2,23.1
47021,Tennessee,Cheatham,72.253616469,4.6861003825,6.2658736633,90.0,60.670032125,12.4,1.4028548055,25.2,38.1,24.0,87.56567,82030,81.946190596,100.0,2.9985326833,0.5892933213,4.87764472,89.281488143,10895,26.944745775,92.403619008,89.32612522,16.759776536,15.080755011,8.4282460137,99.2700543631,7.8,17.9
47023,Tennessee,Chester,72.816933933,5.2809454909,6.664382138,97.5,57.550622103,21.3,4.5441522587,31.7,42.6,5.0,96.55799,65714,76.630348966,65.941987198,8.9344541634,0.7383846416,3.5385663978,84.209928433,4099,21.36576547,,86.104531817,15.992292871,14.922289309,8.8379705401,99.7939893359,6.7,24.7
47025,Tennessee,Claiborne,71.050323106,5.5099459943,6.8965230643,92.0,53.963608602,27.0,4.4385569921,30.2,40.2,17.0,21.43688,53195,71.603745541,71.329151453,1.2280271942,0.9769094139,1.8129478777,94.300851351,7859,17.426117729,48.593376826,75.178359096,23.500925794,17.452442095,11.558538404,99.8524009446,7.5,24.6
47027,Tennessee,Clay,71.886187282,5.7904936325,7.0471381931,97.5,40.887372014,29.8,0.084767096,32.9,39.3,3.0,,46575,77.569509528,100.0,1.5037593985,0.1685247602,3.007518797,93.349753695,1465,29.855759363,,75.913776945,24.390243902,31.466331026,10.25210084,98.0690221857,7.2,25.1
47029,Tennessee,Cocke,68.032550012,5.8450700961,7.145244907,92.0,38.680304353,28.7,11.194435694,33.9,42.8,14.0,56.143730000000005,47491,71.163129009,67.893552599,2.0425622928,0.5560902577,3.2162335579,91.805689231,8017,22.612317763,64.827158014,75.619916683,35.155096012,19.856591285,12.517433752,99.5552971952,6.8,25.0
47031,Tennessee,Coffee,71.754545636,5.1967844348,6.8832451214,90.879746835,49.761839956,19.4,5.2987902083,30.4,40.6,31.0,217.70323,65038,70.246556111,46.076111178,3.9565912952,1.3045701186,6.5393432619,85.446868867,14696,20.083950915,37.983582022,80.674738966,30.829141652,19.056726678,12.134731207,98.7699052519,7.0,24.5
47033,Tennessee,Crockett,71.683926391,5.1776502484,6.7096604607,96.0,50.473372781,20.5,6.5417581261,31.1,42.1,,,56083,68.875136513,100.0,14.089543699,0.5292518953,11.586325275,71.763696181,3380,30.154087387,,86.203130688,35.158680772,14.163302882,13.277623027,97.2072140629,7.1,21.5
47035,Tennessee,Cumberland,73.424892111,5.2543922257,6.4459111372,92.0,42.305747514,24.3,10.92216765,29.1,37.7,40.0,40.14824,60632,80.238277407,53.943903835,0.7936998147,0.7334774552,3.7152563311,93.236565781,11866,18.801321733,54.911076044,85.608627537,33.952594491,23.394169003,9.6135721018,99.7645172604,7.0,21.3
47037,Tennessee,Davidson,75.084283803,4.2331634637,6.1135614261,78.896135635,74.60268986,17.3,8.2107628446,27.1,37.1,637.0,434.34681,80216,53.417594365,3.1425482341,25.383176993,3.8029912934,13.748045159,54.585349008,245589,13.617718397,71.548180127,91.597314498,24.27244582,19.467484148,17.132307902,94.2840174967,9.7,18.0
47039,Tennessee,Decatur,70.714771133,5.4588232913,6.7829378335,97.5,47.806661251,24.0,2.8284939854,33.2,42.8,3.0,128.68909,52000,74.971840505,100.0,2.5308853809,0.8407687028,3.9464653397,90.828757721,2462,24.556449137,37.620094918,79.049335436,15.81027668,17.263703064,12.0,99.8627755924,6.5,25.5
47041,Tennessee,DeKalb,71.672752148,5.6022122088,6.7476583773,92.5,44.885679904,22.0,7.1748276368,33.3,39.3,8.0,47.11425,57936,68.864037669,75.971115538,1.6348645465,1.2438162544,7.8351001178,87.265017668,4986,18.992817901,67.396257903,79.387875221,32.681420484,13.599362773,11.713395639,98.4872360542,6.9,25.3
