FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
51019,Virginia,Bedford,76.956424951,4.1791037182,5.6263828792,90.0,67.251985905,12.1,1.4753635376,21.1,36.6,60.0,125.115,72742.0,84.213101719,70.734439103,6.9745476848,1.4707145048,2.9536951855,86.532965348,16743.0,16.231775323,31.147472902,86.375313475,12.501570549,16.811614567,8.3978927797,99.5684878825,7.4,15.4
51021,Virginia,Bland,75.502283795,4.2186834581,5.9196386663,,38.573021182,15.5,5.1961147263,22.7,36.4,,80.91923999999999,57748.0,80.852878465,100.0,4.1916167665,0.6149862437,1.2947078815,92.603981227,1794.0,,,69.040511727,15.889830508,,9.7345132743,100.0,6.3,16.9
51023,Virginia,Botetourt,77.589841139,3.9621097018,5.5316557278,93.0,61.597122302,7.6,10.8473376,20.1,35.0,19.0,58.60806,84395.0,85.806943915,59.438623646,3.1179487179,0.9904761905,2.6373626374,91.387545788,6950.0,12.353409754,29.517681091,87.493323159,9.5812084686,14.851779243,8.2982791587,99.7872865158,7.0,15.3
51025,Virginia,Brunswick,72.691033068,4.9430518663,5.8851965406,87.5,39.249468964,26.7,10.065113641,29.8,46.2,4.0,88.89453,51441.0,72.535211268,100.0,52.701758842,1.0286367388,3.0097149025,41.431201981,4237.0,31.85840708,50.106476262,77.496087637,23.357086302,13.662389925,9.483488569,99.8159952684,6.6,21.2
51027,Virginia,Buchanan,69.36607957,5.7020649232,6.8026676777,89.0,47.139784946,26.4,1.1125299876,32.1,40.2,5.0,52.39168,43446.0,82.13848456,100.0,4.3642269608,0.4924817939,1.1683344685,93.037145701,4650.0,20.590536589,58.547029993,73.527411237,30.795072788,18.626355312,10.61827957,99.8947257606,6.7,26.0
51029,Virginia,Buckingham,74.843526516,4.7764015293,6.0560213659,87.5,45.41693882,22.6,5.0087662887,28.4,41.6,2.0,64.78973,57701.0,76.426921808,100.0,31.947225822,0.4829779715,2.674048769,62.463187655,4593.0,39.377665323,27.398868818,72.797756516,12.716763006,15.2503402,15.720524017,99.5720399429,6.9,21.0
51031,Virginia,Campbell,76.463670565,4.3761232016,5.7037661483,90.0,60.177055897,17.8,2.2319703603,24.6,36.2,8.0,30.7581,69570.0,75.529891304,56.855070382,14.984620952,1.1470960738,3.5299439117,77.895784331,13668.0,18.923830287,19.284427222,83.401268116,16.280894468,14.50352617,8.5637221848,98.3579794605,7.3,18.6
51033,Virginia,Caroline,74.924689796,4.4290250795,5.7243017568,84.0,53.605208205,12.0,1.5182674014,23.9,39.1,3.0,45.95588,80562.0,81.746575342,100.0,25.263480392,1.1703431373,8.3302696078,61.246936275,8141.0,21.268234043,43.547993075,84.70890411,19.132217287,16.704573198,10.0,98.1618267058,6.9,16.4
51035,Virginia,Carroll,74.553168482,4.9474356117,6.0645110008,91.0,55.527888446,22.2,1.7000395417,27.0,40.2,27.0,58.14152,53694.0,77.835587929,97.626479163,0.9439447314,0.2804473477,4.3537740689,93.04695783,6024.0,17.880010631,22.658011306,81.669735052,19.786910198,18.28079298,9.0721649485,99.6597664924,6.6,21.8
51036,Virginia,Charles City,75.933025768,4.5610264789,6.1227612822,,57.721712538,17.5,0.7185726776,25.8,41.2,1.0,45.38578,73068.0,85.748218527,100.0,41.709531014,0.6202723147,2.3449319213,45.703479576,1308.0,37.500781266,,71.191041737,,,12.969283276,99.5650147584,5.6,18.8
